index,a_name,a_form,a_tier,b_name,b_form,b_tier,winner
400,Itachi Uchiha,Edo Tensei,24.12,Isaac Netero,Zero Hand Active,17.02,0.0
401,Muzan,True Form,16.92,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,0.0
402,Chrollo Lucilfer,Skill Hunter Peak,13.0,Hulk,Devil Hulk (Comics),94.5,0.0
403,Diane,Post-Training / Gideon,51.38,Zeldris,3rd Demon Mark,57.8,0.0
404,Gon Freecss,Ryu and Ko,13.0,Escanor,The One Ultimate,57.8,0.0
405,All Might,Prime,27.18,Zeldris,3rd Demon Mark,57.8,0.0
406,Frieza,Black Frieza Form,97.0,Meliodas,True Magic Form,57.8,1.0
407,Shoto Todoroki,Flashfreeze Heatwave,23.04,Asta,Perfect Devil Union / Zetten,31.33,0.0
408,Minato Namikaze,Edo Tensei,27.18,Yuno,Spirit of Zephyr / Spirit Dive,29.68,0.0
409,Ban,Post-Purgatory with Snatch,57.8,Estarossa,Post-Commandment Absorption,51.38,0.0
410,Ryomen Sukuna,True Form / Full Power,17.02,All Might,Prime,27.18,1.0
411,Katsuki Bakugo,Cluster / Plus Ultra,23.04,Chaos,Primordial Entity,96.0,0.0
412,Star and Stripe,New Order Active,24.12,Future Trunks,Sword of Hope / Zamasu Fight,97.0,0.0
413,Goku,MUI (Perfected Ultra Instinct),97.0,Gohan,Beast Form / Super Hero Arc,97.0,1.0
414,Ryomen Sukuna,True Form / Full Power,17.02,Meruem,Post-Rose / Great King,18.12,0.0
415,Sasuke Uchiha,New Era / Susano'o,34.7,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,1.0
416,Ban,Post-Purgatory with Snatch,57.8,Supreme Deity,Full Power,51.38,0.0
417,Geto Suguru,Curse Manipulation / Adult,15.12,Chrollo Lucilfer,Skill Hunter Peak,13.0,0.0
418,Might Guy,Eight Gates,33.3,Kurapika,Yorknew City Arc / Emperor Time,12.12,1.0
419,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,Omni-Man,Final Battle Peak (Comics),31.33,0.0
420,Might Guy,Eight Gates,33.3,Asta,Perfect Devil Union / Zetten,31.33,0.0
421,Minato Namikaze,Edo Tensei,27.18,Atom Eve,Second Resurrection (Comics),31.33,0.0
422,Itachi Uchiha,Edo Tensei,24.12,Meliodas,True Magic Form,57.8,0.0
423,Gohan,Beast Form / Super Hero Arc,97.0,Krillin,Super Hero Arc / Destructo Disc,97.0,1.0
424,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,Future Trunks,Sword of Hope / Zamasu Fight,97.0,1.0
425,Katsuki Bakugo,Cluster / Plus Ultra,23.04,Lucifero,True Form,27.18,0.0
426,Tomura Shigaraki,Post-Surgery / Complete,25.77,Estarossa,Post-Commandment Absorption,51.38,0.0
427,Frieza,Black Frieza Form,97.0,Cell,Perfect Form,51.38,1.0
428,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,Ban,Post-Purgatory with Snatch,57.8,1.0
429,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,Hisoka Morow,Ryu and Ko,13.0,1.0
430,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Gowther,Emotions Restored,51.38,0.0
431,Adult Gon,Adult Form,17.02,Supreme Deity,Full Power,51.38,0.0
432,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,Feitan Portor,Pain Packer,13.0,1.0
433,Gon Freecss,Ryu and Ko,13.0,Thragg,Post-Timeskip (Comics),36.02,0.0
434,Tomura Shigaraki,Post-Surgery / Complete,25.77,King,Full Wings / Form One,57.8,0.0
435,Mahito,True form,12.12,Homelander,V1 (Comics),8.17,1.0
436,Shoto Todoroki,Flashfreeze Heatwave,23.04,Adult Gon,Adult Form,17.02,0.0
437,Yuno,Spirit of Zephyr / Spirit Dive,29.68,Thor,Rune King Thor (Comics),99.25,0.0
438,Nanami Kento,Shibuya Incident Peak,12.12,Minato Namikaze,Edo Tensei,27.18,0.0
439,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Meruem,Post-Rose / Great King,18.12,0.0
440,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,Chrollo Lucilfer,Skill Hunter Peak,13.0,0.0
441,Ryomen Sukuna,True Form / Full Power,17.02,Minato Namikaze,Edo Tensei,27.18,0.0
442,Ban,Post-Purgatory with Snatch,57.8,Battle Beast,Final Battle Peak (Comics),36.02,0.0
443,Hisoka Morow,Ryu and Ko,13.0,Zeldris,3rd Demon Mark,57.8,0.0
444,Meliodas,True Magic Form,57.8,Escanor,The One Ultimate,57.8,0.0
445,Mahito,True form,12.12,Yuno,Spirit of Zephyr / Spirit Dive,29.68,1.0
446,Goku,MUI (Perfected Ultra Instinct),97.0,Chaos,Primordial Entity,96.0,1.0
447,Hisoka Morow,Ryu and Ko,13.0,Allen the Alien,Second Evolution (Comics),32.9,0.0
448,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,1.0
449,Might Guy,Eight Gates,33.3,Future Trunks,Sword of Hope / Zamasu Fight,97.0,0.0
450,Muzan,True Form,16.92,Chaos,Primordial Entity,96.0,0.0
451,Katsuki Bakugo,Cluster / Plus Ultra,23.04,Hulk,Devil Hulk (Comics),94.5,0.0
452,Toji Fushiguro,Peak Form,15.12,Isaac Netero,Zero Hand Active,17.02,0.0
453,Might Guy,Eight Gates,33.3,Itachi Uchiha,Edo Tensei,24.12,1.0
454,Star and Stripe,New Order Active,24.12,Thor,Rune King Thor (Comics),99.25,0.0
455,Gohan,Beast Form / Super Hero Arc,97.0,Feitan Portor,Pain Packer,13.0,1.0
456,Katsuki Bakugo,Cluster / Plus Ultra,23.04,Zeldris,3rd Demon Mark,57.8,0.0
457,All Might,Prime,27.18,Meliodas,True Magic Form,57.8,0.0
458,Geto Suguru,Curse Manipulation / Adult,15.12,Thor,Rune King Thor (Comics),99.25,0.0
459,Muzan,True Form,16.92,Adult Gon,Adult Form,17.02,1.0
460,Hisoka Morow,Ryu and Ko,13.0,King,Full Wings / Form One,57.8,0.0
461,Feitan Portor,Pain Packer,13.0,Thor,Rune King Thor (Comics),99.25,0.0
462,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,Supreme Deity,Full Power,51.38,0.0
463,Tomura Shigaraki,Post-Surgery / Complete,25.77,Chaos,Primordial Entity,96.0,0.0
464,Star and Stripe,New Order Active,24.12,Zeldris,3rd Demon Mark,57.8,0.0
465,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,Invincible,Post-Resurrections (Comics),36.02,0.0
466,Krillin,Super Hero Arc / Destructo Disc,97.0,Chaos,Primordial Entity,96.0,0.0
467,Frieza,Black Frieza Form,97.0,Omni-Man,Final Battle Peak (Comics),31.33,1.0
468,Satoru Gojo,Shinjuku Showdown Arc,17.02,All Might,Prime,27.18,1.0
469,Star and Stripe,New Order Active,24.12,Cell,Perfect Form,51.38,0.0
470,Lucifero,True Form,27.18,Hisoka Morow,Ryu and Ko,13.0,1.0
471,Frieza,Black Frieza Form,97.0,Thragg,Post-Timeskip (Comics),36.02,1.0
472,Satoru Gojo,Shinjuku Showdown Arc,17.02,Allen the Alien,Second Evolution (Comics),32.9,0.0
473,Geto Suguru,Curse Manipulation / Adult,15.12,All Might,Prime,27.18,0.0
474,Chaos,Primordial Entity,96.0,Thor,Rune King Thor (Comics),99.25,0.0
475,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,Estarossa,Post-Commandment Absorption,51.38,1.0
476,Chaos,Primordial Entity,96.0,Invincible,Post-Resurrections (Comics),36.02,1.0
477,Escanor,The One Ultimate,57.8,Supreme Deity,Full Power,51.38,0.0
478,Muzan,True Form,16.92,Allen the Alien,Second Evolution (Comics),32.9,0.0
479,Future Trunks,Sword of Hope / Zamasu Fight,97.0,Battle Beast,Final Battle Peak (Comics),36.02,0.0
480,Might Guy,Eight Gates,33.3,Omni-Man,Final Battle Peak (Comics),31.33,0.0
481,Krillin,Super Hero Arc / Destructo Disc,97.0,Diane,Post-Training / Gideon,51.38,1.0
482,Itachi Uchiha,Edo Tensei,24.12,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,1.0
483,Isaac Netero,Zero Hand Active,17.02,Supreme Deity,Full Power,51.38,0.0
484,Muzan,True Form,16.92,Thragg,Post-Timeskip (Comics),36.02,0.0
485,Gohan,Beast Form / Super Hero Arc,97.0,Piccolo,Orange Form / Super Hero Arc,97.0,1.0
486,Yuno,Spirit of Zephyr / Spirit Dive,29.68,King,Full Wings / Form One,57.8,0.0
487,Geto Suguru,Curse Manipulation / Adult,15.12,Meruem,Post-Rose / Great King,18.12,0.0
488,Mahito,True form,12.12,Naruto Uzumaki,Baryon Mode,51.38,0.0
489,Meruem,Post-Rose / Great King,18.12,Diane,Post-Training / Gideon,51.38,1.0
490,Diane,Post-Training / Gideon,51.38,Invincible,Post-Resurrections (Comics),36.02,0.0
491,Sasuke Uchiha,New Era / Susano'o,34.7,Meruem,Post-Rose / Great King,18.12,0.0
492,Satoru Gojo,Shinjuku Showdown Arc,17.02,Adult Gon,Adult Form,17.02,1.0
493,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,Kurapika,Yorknew City Arc / Emperor Time,12.12,1.0
494,Gohan,Beast Form / Super Hero Arc,97.0,Gowther,Emotions Restored,51.38,1.0
495,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Allen the Alien,Second Evolution (Comics),32.9,0.0
496,Supreme Deity,Full Power,51.38,Thor,Rune King Thor (Comics),99.25,0.0
497,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,Tomura Shigaraki,Post-Surgery / Complete,25.77,0.0
498,Mahito,True form,12.12,Cell,Perfect Form,51.38,0.0
499,Muzan,True Form,16.92,Hulk,Devil Hulk (Comics),94.5,0.0
