name,form / era / buff,anime,tier,attack,speed,durability,intelligence,stamina,lifting_strength,striking_strength,image_links,durability_negation,regeneration,power_amplification,mobility_hax,time_space_manip,mind_soul_hax,resistance_physical,resistance_hax
Satoru Gojo,Shinjuku Showdown Arc,Jujutsu Kaisen,17.02,15.12,3.07,15.12,9.0,5.0,7.5,15.12,,7.0,1.0,2.0,6.5,6.0,7.5,8.0,7.0
Ryomen Sukuna,True Form / Full Power,Jujutsu Kaisen,17.02,17.02,8.93,15.62,9.0,5.0,10.5,16.119999999999997,,8.0,8.0,7.5,6.5,7.5,7.5,7.5,8.0
Yuji Itadori,Complete Sukuna Gauntlet Peak,Jujutsu Kaisen,15.12,15.12,3.07,15.12,8.0,5.0,7.5,16.119999999999997,,5.5,2.5,5.0,4.0,1.0,6.5,5.5,5.0
Megumi Fushiguro,Mahoraga,Jujutsu Kaisen,15.12,15.12,1.87,15.12,7.0,4.0,7.5,16.119999999999997,,5.5,2.0,7.0,4.5,1.0,1.0,5.0,5.5
Mahito,True form,Jujutsu Kaisen,12.12,12.12,1.87,12.12,9.0,5.0,3.35,12.12,,8.0,6.5,5.0,4.0,1.0,9.0,5.5,5.0
Geto Suguru,Curse Manipulation / Adult,Jujutsu Kaisen,15.12,15.12,3.07,15.12,8.0,5.0,7.5,15.12,,5.0,2.0,6.5,4.5,2.0,6.0,4.5,4.5
Toji Fushiguro,Peak Form,Jujutsu Kaisen,15.12,15.12,3.07,15.12,8.0,5.0,7.5,15.12,,3.0,1.0,2.0,4.5,1.0,1.0,5.5,6.5
Nanami Kento,Shibuya Incident Peak,Jujutsu Kaisen,12.12,11.62,1.87,11.62,8.0,5.0,3.35,11.14,,4.5,1.0,3.0,2.0,1.0,1.0,3.0,2.5
Muzan,True Form,Demon Slayer,16.92,16.92,8.35,16.02,9.0,100.0,5.35,16.92,,3.0,7.5,4.0,4.0,1.0,3.0,6.5,4.0
Naruto Uzumaki,Baryon Mode,Naruto,51.38,51.38,10.93,51.38,9.0,5.0,22.5,51.38,,3.0,4.0,8.0,3.5,1.5,2.0,6.5,5.0
