name,form / era / buff,anime,tier,attack,speed,durability,intelligence,stamina,lifting_strength,striking_strength,image_links,durability_negation,regeneration,power_amplification,mobility_hax,time_space_manip,mind_soul_hax,resistance_physical,resistance_hax,notes
Satoru Gojo,Shinjuku Showdown Arc,Jujutsu Kaisen,17.02,15.12,3.07,15.12,9.0,5.0,7.5,15.12,GOJO.PNG,7.0,1.0,2.0,6.5,6.0,7.5,8.0,7.0,"Infinity uses spatial manipulation to infinitely slow matter/energy based on mass, speed, and cursed energy. Hollow Purple is a virtual mass that conventionally obliterates matter (but is NOT true absolute erasure, as it can be tanked by extreme durability). Weak to domain amplification, spatial-cutting, or absolute bypass."
Ryomen Sukuna,True Form / Full Power,Jujutsu Kaisen,17.02,17.02,8.93,15.62,9.0,5.0,10.5,16.119999999999997,SUKUNA.PNG,8.0,8.0,7.5,6.5,7.5,7.5,7.5,8.0,"Cleave automatically adjusts its power to match the target's toughness and cursed energy. Malevolent Shrine is an open-barrier domain with guaranteed slashes. World-Cutting Slash targets the literal coordinates of space, entirely ignoring physical durability. Vulnerable to direct soul-strikes."
Yuji Itadori,Complete Sukuna Gauntlet Peak,Jujutsu Kaisen,15.12,15.12,3.07,15.12,8.0,5.0,7.5,16.119999999999997,YUJI.PNG,5.5,2.5,5.0,4.0,1.0,6.5,5.5,5.0,"Possesses superhuman physicals supplemented by Shrine (Cleave/Dismantle), Blood Manipulation, and chaining Black Flashes. Can strike the boundary of souls directly, dealing durability-ignoring damage to reincarnated/fused entities. No innate ranged hax defense."
Megumi Fushiguro,Mahoraga,Jujutsu Kaisen,15.12,15.12,1.87,15.12,7.0,4.0,7.5,16.119999999999997,MEGUMI.PNG,5.5,2.0,7.0,4.5,1.0,1.0,5.0,5.5,"Summons Mahoraga, who adapts to any phenomena (physical or conceptual) after being exposed to it once via a turning wheel. Can be killed instantly if destroyed by a single, overwhelmingly powerful attack before the adaptation process completes."
Mahito,True form,Jujutsu Kaisen,12.12,12.12,1.87,12.12,9.0,5.0,3.35,12.12,MAHITO.PNG,8.0,6.5,5.0,4.0,1.0,9.0,5.5,5.0,"Idle Transfiguration reshapes the soul upon physical contact, causing the body to mutate or instantly die, entirely bypassing physical durability. Only countered by subconscious soul-protection (like innate cursed energy defenses) or being completely blitzed."
Geto Suguru,Curse Manipulation / Adult,Jujutsu Kaisen,15.12,15.12,3.07,15.12,8.0,5.0,7.5,15.12,GETO.PNG,5.0,2.0,6.5,4.5,2.0,6.0,4.5,4.5,Cursed Spirit Manipulation allows him to deploy thousands of curses. Maximum: Uzumaki condenses them into raw energy and extracts their innate techniques. Lacks personal defensive hax; vulnerable to fast melee rushdowns or AoE that wipes his curses.
Toji Fushiguro,Peak Form,Jujutsu Kaisen,15.12,15.12,3.07,15.12,8.0,5.0,7.5,15.12,TOJI.PNG,3.0,1.0,2.0,4.5,1.0,1.0,5.5,6.5,"Heavenly Restriction grants zero cursed energy (making him invisible to domains/sensing) and superhuman stats. The Split Soul Katana ignores physical toughness to cut the soul directly, and the Inverted Spear of Heaven forcefully nullifies all cursed techniques/magic."
Nanami Kento,Shibuya Incident Peak,Jujutsu Kaisen,12.12,11.62,1.87,11.62,8.0,5.0,3.35,11.14,NANAMI.PNG,4.5,1.0,3.0,2.0,1.0,1.0,3.0,2.5,"Ratio Technique forcibly creates a weak point at the 7:3 ratio of any target or object, allowing him to deal critical damage regardless of base toughness. A pure physical striker with no defensive hax."
Muzan,True Form,Demon Slayer,16.92,16.92,8.35,16.02,9.0,100.0,5.35,16.92,MUZAN.PNG,3.0,7.5,4.0,4.0,1.0,3.0,6.5,4.0,"Possesses 5 brains and 7 hearts with near-instantaneous regeneration. His blood attacks on a cellular level, destroying living tissue. Strictly limited to melee/whip range and is fundamentally weak to cellular-halting sunlight or equivalent soul/erasure hax."
Naruto Uzumaki,Baryon Mode,Naruto,51.38,51.38,10.93,51.38,9.0,5.0,22.5,51.38,NARUTO.PNG,3.0,4.0,8.0,3.5,1.5,2.0,6.5,5.0,"Baryon Mode fuses chakra like nuclear fusion, elevating speed to Otsutsuki-blitzing tiers. Sustained physical contact directly shaves away the opponent's lifespan/life-force. It grants zero regeneration, burns Naruto/Kurama's own lifespan, and only lasts minutes."
