name,form / era / buff,anime,tier,tier_numeric,attack,speed,durability,intelligence,stamina,lifting_strength,striking_strength,image_links
Satoru Gojo,Hollow Purple,Jujutsu Kaisen,7B,,Large Town level,Supersonic+,Large Town level,Genius,Superhuman,Class M,Large Town level,
Ryomen Sukuna,16/16 Fingers,Jujutsu Kaisen,7B,,City level,FTL,Large Town level+,Genius,Superhuman,Class G,"Large Town level+, likely far higher",
Yuji Itadori,Complete Sukuna Gauntlet Peak,Jujutsu Kaisen,High 7C,,Large Town level,Supersonic+,Large Town level,Gifted,Superhuman,Class M,"Large Town level, likely far higher",
Megumi Fushiguro,Mahoraga,Jujutsu Kaisen,High 7C,,Large Town level,Subsonic,Large Town level,Above Average,Peak Human,Class M,"Large Town level, likely far higher",
Mahito,True form,Jujutsu Kaisen,8A,,Multi-City Block level,Subsonic,Multi-City Block level,Genius,Superhuman,Class 5,Multi-City Block level,
Geto Suguru,Curse Manipulation / Adult,Jujutsu Kaisen,High 7C,,Large Town level,Supersonic+,Large Town level,Gifted,Superhuman,Class M,Large Town level,
Toji Fushiguro,Peak Form,Jujutsu Kaisen,High 7C,,Large Town level,Supersonic+,Large Town level,Gifted,Superhuman,Class M,Large Town level,
Nanami Kento,Shibuya Incident Peak,Jujutsu Kaisen,"8B, likely far higher",,City Block level+,Subsonic,City Block level+,Gifted,Superhuman,Class 5,City Block level,
Muzan,True Form,Demon Slayer,"Low 7B, likely far higher",,"Small City level, likely far higher","Relativistic, likely far higher",Small City level,Genius,Infinite,Class K,"Small City level, likely far higher",
Naruto Uzumaki,Baryon Mode,Naruto,4B,,Solar System level,Massively FTL,Solar System level,Genius,Superhuman,Class Z,Solar System level,
Sasuke Uchiha,Susano'o,Naruto,"5B, likely far higher",,"Planet level, likely far higher",FTL+,Planet level,Genius,Superhuman,Class Z,Planet level,
Kaguya Otsutsuki,Truth Seeker Orbs,Naruto,4B,,Solar System level,Massively FTL,Planet level,Average,Superhuman,Class Z,Planet level,
Kakashi Hatake,DMS (Dual Mangekyo Sharingan),Naruto,Low 5B,,Planet level,FTL+,Planet level,Genius,Superhuman,Class E,Planet level,
Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),Naruto,"5B, likely far higher",,Planet level,FTL+,Planet level,Gifted,Superhuman,Class Z,Planet level,
Might Guy,Eight Gates,Naruto,5B,,Small Planet level+,FTL,Small planet level+,Gifted,Superhuman,Class E,Small Planet level+,
Obito Uchiha,Jubi Jinchuriki,Naruto,Low 5B,,Small Planet level,"FTL, likely far higher",Small planet level,Genius,Superhuman,Class Z,Multi-Continent level,
Itachi Uchiha,Edo Tensei,Naruto,"6B, likely far higher",,Country level,FTL,Country level,Extraordinary Genius,Superhuman,Class T,Country level,
Hashirama Senju,Sage Mode / War Arc,Naruto,"High 6A, likely far higher",,Multi-Continent level,FTL,Multi-Continent level,Gifted,Infinite,Class E,Multi-Continent level,
Minato Namikaze,Edo Tensei,Naruto,High 6A,,Multi-Continent level,FTL,Multi-Continent level,Extraordinary Genius,Infinite,Class P,Multi-Continent level,
Izuku Midoriya,Fa Jin / Gearshift / Full cowl,My Hero Academia,High 6A,,Multi-Continent level,"FTL, likely far higher","Continent level, likely far higher",Gifted,Superhuman,Class P,Multi-Continent level,
Katsuki Bakugo,Cluster / Plus Ultra,My Hero Academia,6B,,"Country level, likely far higher",FTL,Country level,Gifted,Superhuman,Class K,Multi-City Block level,
Shoto Todoroki,Flashfreeze Heatwave,My Hero Academia,6B,,"Country level, likely far higher",Relativistic+,Country level,Gifted,Superhuman,Class P,Country level,
All For One,Rewind Drug / Omni-Factor,My Hero Academia,"6B, likely far higher",,"Country level, likely far higher",Speed of Light,Country level,Genius,Superhuman,Class P,"Country level, likely far higher",
Tomura Shigaraki,Post-Surgery / Complete,My Hero Academia,"6A, likely far higher",,"Continent level, likely far higher",Speed of Light,"Continent level, likely far higher",Genius,Superhuman,Class P,"Country level, likely far higher",
Star and Stripe,New Order Active,My Hero Academia,"6B, likely far higher",,"Country level, likely far higher",Relativistic+,"Country level, likely far higher",Gifted,Superhuman,Class P,"Country level, likely far higher",
All Might,Prme,My Hero Academia,High 6A,,Continent level,FTL,Continent level,Gifted,Superhuman,Class P,Continent level,
Goku,MUI (Perfected Ultra Instinct),Dragon Ball Universe,"2C, likely far higher",,Multiverse level,Massively FTL+,Multiverse level,Average,Superhuman,Class G,Multiverse level,
Vegeta,Ultra Ego / Granolah Arc Peak,Dragon Ball Universe,"2C, likely far higher",,Multiverse level,Massively FTL+,Multiverse level,Above Average,Superhuman,Class G,Multiverse level,
Gohan,Beast Form / Super Hero Arc,Dragon Ball Universe,"2C, likely far higher",,Multiverse level,Massively FTL+,Multiverse level,Gifted,Superhuman,Class G,Multiverse level,
Piccolo,Orange Form / Super Hero Arc,Dragon Ball Universe,"2C, likely far higher",,Multiverse level,Massively FTL+,Multiverse level,Genius,Superhuman,Class T,Multiverse level,
Krillin,Destructo Disc / Super Hero Arc,Dragon Ball Universe,"2C, likely far higher",,Multiverse level,Massively FTL+,Low Multiverse level,Gifted,Superhuman,Class T,Low Multiverse level,
Future Trunks,Sword of Hope / Zamasu Fight,Dragon Ball Universe,"2C, likely far higher",,Multierse level,Massively FTL+,Multiverse level,Gifted,Superhuman,Class G,Multiverse level,
Frieza,Black Frieza Form,Dragon Ball Universe,"2C, likely far higher",,Multiverse level,Massively FTL+,Multiverse level,Gifted,Superhuman,Class G,Multiverse level,
Cell,Perfect Form,Dragon Ball Universe,4B,,Large Star level,Massively FTL+,Large Star level,Genius,Superhuman,Class G,Large Star level,
Asta,Perfect Devil Union / Zettin,Black Clover,Low 5B,,Small Planet level,Massively FTL+,Small Planet level,Genius,Superhuman,Class Z,Small Planet level,
Yuno,Spirit of Zephyr / Spirit Dive,Black Clover,5C,,Moon level+,Massively FTL+,Moon level+,Genius,Superhuman,Class Z,Moon level+,
Noelle Silva,Saint Valkyrie / Spirit Dive,Black Clover,"High 6A, likely far higher",,"Multi-Continent level, likely far higher","Relativistic+, likely far higher",Multi-Continent level,Gifted,Superhuman,Class M,"Multi-Continent level, likely far higher",
Yami Sukehiro,Death Thrust / Final War,Black Clover,High 6A,,Multi-Continent level,FTL,Multi-Continent level,Above Average,Superhuman,Class Z,Multi-Continent level,
Julius Novachrono,Wizard King Peak,Black Clover,6C,,Island level,Relativistic+,Island level,Genius,Superhuman,Class M,Island level,
Lucifero,True Form,Black Clover,High 6A,,Multi-Continent level,FTL,Multi-Continent level,Gifted,Superhuman,Class Z,Multi-Continent level,
Gon Freecss,Ryu and Ko,Hunter x Hunter,Low 7C,,Multi-City Block level,Hypersonic,Multi-City Block level,Gifted,Superhuman,Class 50,Small Town level,
Adult Gon,Adult Form,Hunter x Hunter,7B,,City level,Massively Hypersonic,Small City level,Gifted,Superhuman,Class M,City level,
Killua Zoldyck,Godspeed,Hunter x Hunter,Low 7C,,Small Town level,Massively Hypersonic+,Small Town level,Gifted,Superhuman,Class 100,Small Town level,
Kurapika,Judgment Chain,Hunter x Hunter,8A,,Multi-City Block level,Hypersonic,Multi-City Block level,Genius,Superhuman,Class 100,Multi-City Block level,
Hisoka Morow,Bungee Gum,Hunter x Hunter,Low 7C,,Small Town level,Hypersonic+,Small Town level,Genius,Superhuman,Class K,Small Town level,
Feitan Portor,Pain Packer,Hunter x Hunter,Low 7C,,"Small Town level, likely far higher",Hypersonic,"Small Town level, likely far higher",Above Average,Superhuman,Class 50,Small Town level,
Chrollo Lucilfer,Skill Hunter Peak,Hunter x Hunter,Low 7C,,Small Town level,Hypersonic+,Small Town level,Genius,Superhuman,Class 50,Small Town level,
Meruem,Post-Rose / Great King,Hunter x Hunter,7A,,Mountain level+,Massively Hypersonic,Mountain level+,Extraordinary Genius,Superhuman,Class M,Mountain level+,
Isaac Netero,Zero Hand Active,Hunter x Hunter,7B,,City level,Massively Hypersonic,Small Town level,Genius,Superhuman,Class M,Large Town level,
Meliodas,True Magic Form,Seven Deadly Sins,"4B, likely far higher",,"Solar System level, likely far higher","FTL, likely far higher","Solar System level, likely far higher",Genius,Superhuman,Class E,"Solar System level, likely far higher",
Escanor,The One Ultimate,Seven Deadly Sins,"4B, likely far higher",,"Solar System level, likely far higher","FTL, likely far higher","Solar System level, likely far higher",Gifted,Superhuman,Class E,"Solar System level, likely far higher",
Merlin,Infinity Active,Seven Deadly Sins,"4B, likely far higher",,"Solar System level, likely far higher",FTL,"Solar System level, likely far higher",Extraordinary Genius,Superhuman,Class E,"Solar System level, likely far higher",
Ban,Post-Purgatory with Snatch,Seven Deadly Sins,"4B, likely far higher",,"Solar System level, likely far higher","FTL, likely far higher","Solar System level, likely far higher",Gifted,Infinite,"Class E, likely far higher","Solar System level, likely far higher",
King,Full Kings,Seven Deadly Sins,"4B, likely far higher",,"Solar System level, likely far higher",FTL,"Solar System level, likely far higher",Genius,Superhuman,Class P,"Solar System level, likely far higher",
Diane,Gideon,Seven Deadly Sins,4B,,Solar System level,FTL,"Solar System level, likely far higher",Gifted,Superhuman,Class P,Solar System level,
Gowther,Emotions Restored,Seven Deadly Sins,4B,,Solar System level,Relativistic,Solar System level,Genius,Infinite,Class P,Solar System level,
Estarossa,Post-Commandment Absorption,Seven Deadly Sins,4B,,Solar System level,Relativistic,Solar System level,Above Average,Superhuman,Class P,Solar System level,
Zeldris,3rd Demon Mark,Seven Deadly Sins,"4B, likely far higher",,"Solar System level, likely far higher","FTL, likely far higher","Solar System level, likely far higher",Genius,Superhuman,Class P,"Solar System level, likely far higher",
Chaos,Primordial Entity,Seven Deadly Sins,Low 2C,,Universe level+,FTL+,Universe level+,Extraordinary Genius,Infinite,Infinite,Universe level+,
Supreme Deity,Full Power,Seven Deadly Sins,4B,,Solar System level,FTL,"Solar System level, likely far higher",Genius,Superhuman,Class E,Solar System level,
Thragg,Post-Timeskip (Comics),Invincible,High 5B,,Small Planet level,Massively FTL+,Small Planet level,Gifted,Superhuman,Class Z,Small Planet level,
Battle Beast,Final Battle Peak (Comics),Invincible,High 5B,,Small Planet level,Massively FTL+,Small Planet level,Average,Superhuman,Class Z,Small Planet level,
Omni-Man,Final Battle Peak (Comics),Invincible,Low 5B,,Small Planet level,Massively FTL+,Small Planet level,Gifted,Superhuman,Class Z,Small Planet level,
Allen the Alien,Second Evolution (Comics),Invincible,"Low 5B, likely far higher",,"Small Planet level, likely far higher",Massively FTL+,"Small Planet level, likely far higher",Gifted,Superhuman,Class Z,"Small Planet level, likely far higher",
Invincible,Post-Resurrections (Comics),Invincible,High 5B,,"Small Planet level, likely far higher",Massively FTL+,"Small Planet level, likely far higher",Gifted,Superhuman,"Class Z, likely far higher","Small Planet level, likely far higher",
Atom Eve,Second Resurrection (Comics),Invincible,Low 5B,,Small Planet level,Massively Hypersonic+,Small Planet level,Genius,Athletic,Class Z,Athlete level,
Thor,Rune King Thor (Comics),Marvel,1A,,Outerverse level,Infinite,Outerverse level,Gifted,Superhuman,Immeasurable,Outerverse level,
Hulk,Devil Hulk (Comics),Marvel,High 3A,,High Universe level,Massively FTL+,High Universe level,Extraordinary Genius,Superhuman,Immeasurable,High Universe level,
Homelander,V1 (Comics),The Boys,9A,,City Block level,Supersonic+,City Block level,Above Average,Superhuman,Class K,City Block level,
