Successfully applied 332 fixes

[16] Supreme Deity (Full Power) vs Hulk (Devil Hulk (Comics)) | 1.0 -> 0.0 | Devil Hulk severely outstats and overwhelms with strength
[36] Krillin (Super Hero Arc / Destructo Disc) vs Gowther (Emotions Restored) | 0.0 -> 1.0 | Massive speed advantage allows immediate one-shot blitz
[43] Piccolo (Orange Form / Super Hero Arc) vs Battle Beast (Final Battle Peak (Comics)) | 0.0 -> 1.0 | Piccolo overwhelmingly outstats in speed and cosmic power
[70] Cell (Perfect Form) vs Supreme Deity (Full Power) | 0.0 -> 1.0 | Cell vastly overwhelms in speed and cosmic AP
[93] Izuku Midoriya (Fa Jin / Gearshift / Full cowl) vs Adult Gon (Adult Form) | 0.0 -> 1.0 | Vastly superior speed, durability, and attack potency
[109] Mahito (True form) vs Omni-Man (Final Battle Peak (Comics)) | 0.0 -> 1.0 | Omni-Man lacks soul resistance, getting instantly transfigured
[116] Megumi Fushiguro (Mahoraga) vs Gon Freecss (Ryu and Ko) | 0.0 -> 1.0 | Mahoraga adapts to physical strikes and easily outlasts
[124] Kakashi Hatake (DMS (Dual Mangekyo Sharingan)) vs Hashirama Senju (Sage Mode / War Arc) | 0.0 -> 1.0 | DMS Kakashi vastly outscales with intangible Kamui attacks
[128] Lucifero (True Form) vs Meruem (Post-Rose / Great King) | 0.0 -> 1.0 | Lucifero massively outscales in speed and sheer gravity
[136] Future Trunks (Sword of Hope / Zamasu Fight) vs Merlin (Infinity Active) | 0.0 -> 1.0 | Massive speed advantage allows immediate one-shot blitz
[141] Madara Uchiha (Jubi Jinchuriki (Shinju Absorbed)) vs Merlin (Infinity Active) | 0.0 -> 1.0 | Overwhelming stats and Truth Seeking Orbs negate magic
[146] Nanami Kento (Shibuya Incident Peak) vs Katsuki Bakugo (Cluster / Plus Ultra) | 1.0 -> 0.0 | Bakugo vastly outstats in speed and sheer power
[152] Sasuke Uchiha (New Era / Susano'o) vs Might Guy (Eight Gates) | 0.0 -> 1.0 | Adult Sasuke severely outscales War Arc combatants
[156] Meruem (Post-Rose / Great King) vs Estarossa (Post-Commandment Absorption) | 1.0 -> 0.0 | Estarossa has vastly superior physical stats and regeneration
[162] Tomura Shigaraki (Post-Surgery / Complete) vs Diane (Post-Training / Gideon) | 0.0 -> 1.0 | Decay instantly neutralizes and destroys all earth attacks
[176] Chaos (Primordial Entity) vs Omni-Man (Final Battle Peak (Comics)) | 0.0 -> 1.0 | Overwhelmingly massive gap in cosmic power and abilities
[179] Vegeta (Ultra Ego / Granolah Arc Peak) vs Allen the Alien (Second Evolution (Comics)) | 0.0 -> 1.0 | Vegeta vastly outscales in speed and cosmic power
[186] Mahito (True form) vs Muzan (True Form) | 0.0 -> 1.0 | Muzan cannot perceive or damage Mahito's soul
[187] Krillin (Super Hero Arc / Destructo Disc) vs Zeldris (3rd Demon Mark) | 0.0 -> 1.0 | Massive speed and cosmic power advantage allows blitzing
